ENERGY,NELE_1,NELE_2,NELE_3,NELE_4,NELE_5,NELE_6,NELE_7,NELE_8
0.52,0.0,0.0,0.0,0.0,1.2102018432826758e-25,4.334490589440547e-22,2.357133002069942e-23,6.359026784103407e-24
0.53,0.0,0.0,0.0,0.0,0.0,2.2672610173876723e-22,3.1449221615072143e-23,6.1771578773072125e-24
0.54,0.0,0.0,0.0,0.0,0.0,1.3477783990891997e-22,1.9444574107746444e-23,4.374100254811563e-23
0.55,0.0,0.0,0.0,3.7557133198466524e-24,0.0,8.740435411417953e-23,4.730242015736219e-23,5.234584175115636e-23
0.56,0.0,0.0,0.0,3.9146268538315595e-25,1.6687103299392947e-24,6.033680468355225e-23,2.682020420365212e-23,1.0747578647791205e-22
0.57,0.0,0.0,0.0,1.0431826427050373e-25,2.2592586091356343e-24,5.049404267623439e-23,2.1077590363914894e-23,4.434663316370454e-23
0.58,0.0,0.0,0.0,0.0,6.841186275396752e-25,3.5693502868933256e-23,1.8421304371094585e-23,3.6658986827746945e-23
0.59,0.0,0.0,0.0,0.0,4.330307934904182e-25,1.0348782036444933e-22,1.6616489348437038e-23,2.7662503409271336e-23
0.6,0.0,0.0,0.0,8.721799844839494e-25,3.242818979170702e-25,2.379621341094764e-23,1.1730784913189516e-22,5.330008146110651e-23
0.61,0.0,0.0,0.0,4.5085455384916625e-25,2.718318510777931e-25,1.8615809042945585e-23,3.192967704213759e-22,2.6443877451707145e-23
0.62,0.0,0.0,0.0,2.3987492282748183e-25,3.902065788114286e-24,2.0591719021046747e-23,6.621938126681004e-23,2.1736880975700575e-23
0.63,0.0,0.0,0.0,0.0,1.0655687396576166e-23,2.0140629355634672e-23,4.2236217509801653e-23,1.9193359373946613e-23
0.64,0.0,0.0,0.0,0.0,1.5336669705608348e-24,1.2821661801241712e-23,1.7938334399832049e-22,1.7369398000517597e-23
0.65,0.0,0.0,0.0,1.728393652629763e-23,8.589694089081054e-25,1.050173203809446e-23,1.7130024800499457e-22,1.6084225215394298e-23
0.66,0.0,0.0,0.0,1.4782355623759183e-24,5.520827320120113e-25,1.7326294985856965e-23,2.0974290832907164e-18,1.5072805555067995e-23
0.67,0.0,0.0,0.0,4.485909143057125e-25,4.412076876396871e-25,1.2101701523903277e-23,7.505883754854131e-21,4.937876819666954e-23
0.68,0.0,0.0,0.0,2.9137680948030125e-25,5.5076460892683075e-25,3.255205175994329e-22,4.177772607481931e-19,1.133321331209222e-22
0.69,0.0,0.0,0.0,1.22673893198524e-25,1.3724849803572433e-23,1.3407075472606055e-23,2.3397927433514362e-20,5.367913329168439e-23
0.7,0.0,0.0,0.0,0.0,2.097266359201702e-24,1.477904338976758e-23,4.5235617291305406e-21,3.931336052284397e-23
0.71,0.0,0.0,0.0,1.703842741400296e-24,3.6321958835020975e-24,8.654335719330789e-24,1.5424832165522356e-21,3.2452134296015813e-23
0.72,0.0,0.0,0.0,4.261966722416083e-24,1.2488610559414192e-17,7.264723487830122e-24,7.414430394174769e-22,2.8319579400908744e-23
0.73,0.0,0.0,0.0,9.241527984673026e-25,5.080522453262722e-21,1.9804261675900375e-23,4.312635322637785e-22,2.551026081019767e-23
0.74,0.0,0.0,0.0,4.813966204554636e-25,4.244626130764007e-22,8.527314964664323e-24,3.1353371860145104e-22,2.3451938289271064e-23
0.75,0.0,0.0,0.0,3.5686974764496663e-25,9.42303818335815e-23,6.697655791252544e-24,2.3022964469209346e-22,2.1768160935870377e-23
0.76,0.0,0.0,0.0,2.8668896560655888e-25,3.511526746210894e-23,6.502313284668844e-23,2.056287727570496e-22,2.050174467428548e-23
0.77,0.0,0.0,0.0,2.4161828329662418e-25,1.4296841584231622e-23,7.32642939905067e-23,3.918079300831299e-22,1.9460190525736494e-23
0.78,0.0,0.0,0.0,1.8804084560010297e-24,1.3000745910057515e-23,1.402777364805524e-23,4.239950332375992e-22,1.8584623538839733e-23
0.79,0.0,0.0,3.1407459361704336e-24,4.495647287275042e-24,1.084804600522986e-22,1.0138487192745075e-23,1.7286343618786197e-22,1.7735881804935738e-23
0.8,0.0,0.0,2.0585996884954865e-24,1.6584947193571766e-24,7.794507566092464e-24,3.0013936006639486e-23,2.243276094357164e-22,1.708646567539452e-23
0.81,0.0,0.0,1.0532568949574993e-24,9.333459015742577e-25,4.862791290237293e-24,1.4706843240325993e-23,1.332882393218392e-22,1.64161743847492e-23
0.82,0.0,0.0,7.391258414785686e-25,5.817432250281057e-25,3.5568049366239515e-24,1.1108205663882527e-23,3.9867383230839564e-22,1.5911565853511672e-23
0.83,0.0,0.0,4.917734522776963e-25,4.655686009128705e-25,2.8025490336657356e-24,9.323241067760791e-24,1.9129481356267744e-22,1.536035822199248e-23
0.84,0.0,0.0,4.056743126705147e-25,3.91148387129182e-25,2.3153116725017994e-24,8.101993410222092e-24,9.445854662266316e-19,1.4953485286978327e-23
0.85,0.0,0.0,3.476756983133736e-25,3.3939077568575866e-25,1.9783549874429896e-24,7.214297776514115e-24,8.088295375852804e-20,1.458406883180127e-23
0.86,0.0,0.0,1.1322700683400773e-23,9.316105654112393e-23,3.2443999056826797e-24,1.5719249092502289e-22,2.6469204526146094e-20,1.4246674915960415e-23
0.87,0.0,0.0,2.848125990445782e-24,7.523664608028869e-23,1.746315355731318e-24,8.113452334371095e-23,1.2121683873330694e-20,1.393690424505384e-23
