ENERGY,XSECTN
25.1,1.0590728052825622e-19
25.2,2.7019227992923177e-16
25.3,1.928200268322798e-17
25.4,5.376574644597981e-18
25.5,2.2949469812812723e-18
25.6,1.2181406509450513e-18
25.7,7.401664670132886e-19
25.8,7.3813254450394385e-19
25.9,4.867854274172496e-19
26.0,2.8605294249254397e-19
26.1,2.153886974031046e-19
26.2,1.7222478389618595e-19
26.3,1.4249251396916202e-19
26.4,1.2085291286837591e-19
26.5,1.0451913940760547e-19
26.6,9.183860787559889e-20
26.7,8.176306800396762e-20
26.8,7.359733118283485e-20
26.9,6.686469416230781e-20
27.0,6.307995046785781e-20
27.1,5.888373266924198e-20
27.2,5.2706345269350895e-20
27.3,4.891182648307817e-20
27.4,2.0745386928044508e-19
27.5,4.931494117839636e-20
27.6,4.189400696751601e-20
27.7,3.88058377747055e-20
27.8,3.655084805143057e-20
27.9,3.464424815407416e-20
28.0,3.295542013063288e-20
28.1,3.142998030781984e-20
28.2,3.0037592438682305e-20
28.3,3.5435828113463803e-16
28.4,1.6184401301865594e-17
28.5,3.756400553691022e-18
28.6,1.4301015129650758e-18
28.7,6.986743405397952e-19
28.8,3.9790618922215253e-19
28.9,2.518188090098029e-19
29.0,1.7226516372952322e-19
29.1,1.251502096010562e-19
29.2,1.6042179978656468e-19
29.3,1.0188829277672397e-19
29.4,7.368543668602346e-20
29.5,5.947478170984844e-20
29.6,5.0049167189855e-20
29.7,4.3237016459846827e-20
29.8,3.808233229055855e-20
29.9,3.405788711132354e-20
30.0,3.083896537950427e-20
30.1,2.8391628121295216e-20
30.2,2.610922791949482e-20
30.3,2.4256686227485055e-20
30.4,2.2683394013357018e-20
30.5,2.1327231350479956e-20
30.6,2.0145114720806746e-20
30.7,1.910454332194184e-20
30.8,1.8180613760671006e-20
30.9,1.7353858180537022e-20
31.0,1.6608855849898092e-20
31.1,1.5933252759656493e-20
31.2,1.5317051102480892e-20
31.3,1.475208485750064e-20
31.4,1.4231527567161768e-20
31.5,1.3749993284676957e-20
31.6,1.3302609916883936e-20
31.7,1.2885641452952764e-20
31.8,1.2495650415576914e-20
31.9,1.2129789578039078e-20
32.0,1.1785615472712045e-20
32.1,1.1461019448476307e-20
32.2,1.1154172169143393e-20
32.3,1.0868437030407733e-20
32.4,1.0595639556458785e-20
32.5,1.0332977322631492e-20
32.6,1.0082762583247577e-20
32.7,9.844036233582907e-21
32.8,9.615941059931045e-21
32.9,9.397708190495386e-21
33.0,9.188646702199793e-21
33.1,8.988037749681664e-21
33.2,8.795515164894178e-21
33.3,8.610468904306919e-21
33.4,8.432435601132965e-21
33.5,8.260992921220588e-21
33.6,8.095754899125649e-21
33.7,7.936269256626972e-21
33.8,7.782412716222711e-21
33.9,7.63378313719619e-21
34.0,7.490004686080927e-21
34.1,7.35102226511579e-21
34.2,7.216499503509963e-21
34.3,7.08621700340279e-21
34.4,6.95997071772902e-21
34.5,6.837570540606327e-21
34.6,6.71883905574077e-21
34.7,6.6036104223170626e-21
34.8,6.491729380831707e-21
34.9,6.382950764555334e-21
35.0,6.277337734906717e-21
35.1,6.174461779046554e-21
35.2,6.074602386468182e-21
35.3,5.9774448702591625e-21
35.4,5.8828816457635914e-21
35.5,5.7908110762485795e-21
35.6,5.70103713995916e-21
35.7,5.6136689346733125e-21
35.8,5.528520022615727e-21
35.9,5.4455086008171795e-21
36.0,5.3645570019930915e-21
36.1,5.285591420391479e-21
36.2,5.208342050738106e-21
36.3,5.133142147216588e-21
36.4,5.059727591099637e-21
36.5,4.988037703034606e-21
36.6,4.9180145936350485e-21
36.7,4.849602996515679e-21
36.8,4.782750113814474e-21
36.9,4.717405473082698e-21
37.0,4.65352079453979e-21
37.1,6.182303622647752e-17
37.2,7.082488061835443e-18
37.3,3.52990516535537e-18
37.4,2.256849159461749e-18
37.5,1.609774142941835e-18
37.6,1.2221721271335077e-18
37.7,9.664580006186175e-19
37.8,7.866308856025731e-19
37.9,6.542862920997711e-19
38.0,5.535068979589113e-19
38.1,4.746966145832664e-19
38.2,4.1173683212221507e-19
38.3,3.6054978066453693e-19
38.4,3.183177956744163e-19
38.5,2.830356774146517e-19
38.6,2.532396155107311e-19
38.7,2.278385246281261e-19
38.8,2.0600345641986318e-19
38.9,1.8709465684712835e-19
39.0,3.893832593169416e-17
39.1,1.551075467718449e-17
39.2,9.22242314274684e-18
39.3,6.342682791637559e-18
39.4,4.710989962354747e-18
39.5,3.6715260012877735e-18
39.6,2.957979350442156e-18
39.7,2.4420238777854978e-18
39.8,2.0543496880917857e-18
39.9,1.754325119341639e-18
40.0,1.5166103643890772e-18
40.1,1.324618003892949e-18
40.2,1.1670578721601417e-18
40.3,1.0359957937946405e-18
40.4,9.257027672646806e-19
40.5,8.319471726151984e-19
40.6,7.515410852451687e-19
40.7,6.820413372939529e-19
40.8,6.215471142157835e-19
40.9,5.685596928708912e-19
41.0,5.218832288187546e-19
41.1,4.805532873360259e-19
41.2,4.4378451190608395e-19
41.3,1.330893458928209e-17
41.4,1.5589251544840803e-18
41.5,1.5993617871080716e-18
41.6,9.936880622937093e-19
41.7,7.707259232731253e-19
41.8,6.432625757128496e-19
41.9,5.573386277806886e-19
42.0,4.939726565899185e-19
42.1,4.445178258604135e-19
42.2,4.0439644811903147e-19
42.3,3.709269360252528e-19
42.4,3.4241794572759035e-19
42.5,3.1774039900996583e-19
42.6,2.961057881752625e-19
42.7,2.769428551060533e-19
42.8,2.598249541524369e-19
42.9,2.4442520190623867e-19
43.0,2.304876624231529e-19
43.1,2.178081949133345e-19
43.2,2.0622134329706359e-19
43.3,1.9559102717629108e-19
43.4,1.8580432382621002e-19
43.5,1.7676601491056285e-19
43.6,1.6839536250771833e-19
43.7,1.6062325791491552e-19
43.8,1.533901023607066e-19
43.9,1.4664415244230156e-19
44.0,1.845845899197583e-18
44.1,7.236568346708955e-19
44.2,4.498427548501496e-19
44.3,3.3024503103411674e-19
44.4,2.6428692597913564e-19
44.5,2.2275039527682513e-19
44.6,1.9419483872226944e-19
44.7,1.7328769379626348e-19
44.8,1.5723579519749954e-19
44.9,1.4444740173372213e-19
45.0,1.3395493514762874e-19
45.1,1.2513927926802978e-19
45.2,1.1758729596816587e-19
